istante_utc,istante_italia,localita,stazione,vento_medio_kn,raffica_kn,direzione_gradi,direzione_testo,vento_medio_ms,raffica_ms,temperatura_c,umidita_pct,punto_rugiada_c,pressione_hpa,radiazione_wm2,uv,pioggia_mm,pioggia_giorno_mm
2026-08-01 22:08:40,2026-08-02 00:08:40,torbole,circolo_surf_torbole,7.8,13.8,55.0,NE,4.0,7.1,26.9,55.0,17.08,1007.3,0.0,0.0,0.0,0.0
2026-08-01 23:12:40,2026-08-02 01:12:40,torbole,circolo_surf_torbole,8.7,19.8,329.0,NNW,4.5,10.2,26.2,58.0,17.27,1007.2,0.0,0.0,0.0,0.0
2026-08-02 00:16:41,2026-08-02 02:16:41,torbole,circolo_surf_torbole,8.6,10.9,22.0,NNE,4.4,5.6,25.6,60.0,17.25,1006.89,0.0,0.0,0.0,0.0
2026-08-02 04:00:40,2026-08-02 06:00:40,torbole,circolo_surf_torbole,13.8,20.8,23.0,NNE,7.1,10.7,24.0,68.0,17.72,1007.2,3.59,0.0,0.0,0.0
2026-08-02 06:43:41,2026-08-02 08:43:41,torbole,circolo_surf_torbole,14.2,18.9,25.0,NNE,7.3,9.7,24.8,66.0,18.01,1007.0,277.92,2.0,0.0,0.0
2026-08-02 09:02:40,2026-08-02 11:02:40,torbole,circolo_surf_torbole,16.3,22.7,59.0,ENE,8.4,11.7,28.8,54.0,18.55,1006.08,690.83,6.0,0.0,0.0
2026-08-02 10:48:40,2026-08-02 12:48:40,torbole,circolo_surf_torbole,7.8,10.9,33.0,NNE,4.0,5.6,32.7,44.0,18.83,1005.2,954.89,9.0,0.0,0.0
2026-08-02 11:53:40,2026-08-02 13:53:40,torbole,circolo_surf_torbole,0.8,2.9,347.0,NNW,0.4,1.5,34.4,41.0,19.22,1004.9,485.64,4.0,0.0,0.0
2026-08-02 13:41:40,2026-08-02 15:41:40,torbole,circolo_surf_torbole,3.3,3.9,138.0,SE,1.7,2.0,29.7,46.0,16.83,1005.47,303.88,2.0,0.0,0.0
2026-08-02 14:51:40,2026-08-02 16:51:40,torbole,circolo_surf_torbole,2.1,5.1,230.0,SW,1.1,2.6,32.4,37.0,15.82,1005.2,339.05,3.0,0.0,0.0
2026-08-02 16:04:41,2026-08-02 18:04:41,torbole,circolo_surf_torbole,3.3,8.0,18.0,NNE,1.7,4.1,32.0,40.0,16.69,1004.9,213.1,2.0,0.0,0.0
